DestAct,NbTransf,NbHousehold,NbCar,NbMoto,NbComp,Internet,NbSmartPhone,HouseType,YearsInHouse,Income,Gender,Mothertongue,FamilSitu,OccupStat,SocioProfCat,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,TripPurpose,TypeCommune,frequency,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,ModeToSchool,age
2,4,2,1,0,2,1,2,1,1,4,1,2,2,3,3,7,2,2,1,2,2,2,1,7,1,2,4,1,1,4,1,30.0,1,3,27
11,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,3,7,1,1,-1,-1,-1,2,1,4.5,0,-1,-1
1,3,2,1,0,1,1,0,1,29,2,2,2,2,2,4,3,2,2,2,2,2,1,1,7,1,1,3,2,2,1,1,25.0,1,-1,63
1,5,3,2,0,1,1,0,1,22,4,1,2,3,1,6,3,2,2,2,2,2,1,1,7,1,2,2,1,2,3,1,12.5,1,-1,57
1,4,3,2,0,1,1,0,1,22,4,2,2,3,4,6,3,2,2,2,2,2,2,1,7,1,2,1,2,2,3,1,19.0,1,-1,58
4,1,1,1,0,1,1,0,1,38,4,1,1,1,9,3,4,1,2,2,2,2,1,3,7,1,1,-1,-1,-1,1,1,13.0,1,4,80
4,4,2,1,0,1,1,0,1,25,5,2,2,2,9,2,4,1,2,2,2,2,1,3,7,1,2,3,2,2,3,1,45.0,1,5,64
4,1,1,1,0,2,1,0,1,36,4,2,1,1,9,8,3,2,2,2,2,2,1,3,7,1,1,1,2,2,3,1,7.0,1,4,68
11,0,1,1,0,2,1,0,1,36,4,2,1,1,9,8,3,2,2,2,2,2,1,3,7,1,1,1,2,2,3,1,1.0,1,4,68
1,3,2,1,0,2,1,1,1,29,2,1,2,2,1,6,3,2,2,2,2,2,1,1,7,1,2,4,-1,-1,4,1,27.0,1,4,59
1,5,2,2,0,4,1,3,2,2,6,1,2,2,1,2,8,2,2,1,2,2,1,1,7,1,2,3,3,1,3,1,26.0,1,1,30
4,4,3,2,0,2,1,1,2,2,5,2,2,3,2,4,6,2,2,2,2,2,1,3,7,1,1,3,2,1,2,1,22.0,1,5,33
4,2,3,2,0,2,1,1,2,2,5,2,2,3,2,4,6,2,2,2,2,2,1,3,7,1,2,3,2,1,2,1,11.0,1,5,33
11,6,2,2,-1,2,1,0,1,15,4,2,2,3,2,6,3,2,2,2,2,2,1,3,7,1,2,4,1,1,4,1,20.0,1,4,39
4,2,2,2,-1,2,1,0,1,15,4,2,2,3,2,6,3,2,2,2,2,2,1,3,7,1,3,4,1,1,4,1,15.0,1,4,39
1,3,2,2,0,2,1,0,1,41,4,1,2,3,1,8,3,2,2,2,2,2,1,1,7,1,3,4,2,2,3,1,55.0,1,3,42
7,5,2,2,0,2,1,0,1,41,4,1,2,3,1,8,3,2,2,2,2,2,1,3,7,1,2,4,2,2,3,1,49.5,1,3,42
1,1,3,2,0,2,1,0,2,25,3,1,2,3,1,6,3,2,2,2,2,2,-1,1,7,1,1,4,2,2,2,1,7.0,1,4,50
3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,1,7,1,2,-2,-2,-2,-2,1,54.0,0,-2,-1
4,1,4,4,1,1,2,-1,1,30,4,1,2,3,9,1,3,2,2,2,2,2,1,3,4,1,1,1,3,2,3,1,9.0,1,4,69
7,0,4,4,1,1,2,-1,1,30,4,1,2,3,9,1,3,2,2,2,2,2,1,3,4,1,1,1,3,2,3,1,0.8,2,4,69
1,2,4,4,1,1,2,-1,1,30,4,1,2,3,9,1,3,2,2,2,2,2,1,1,4,1,1,1,3,2,3,1,11.0,1,4,69
1,3,4,4,1,1,2,-1,1,30,4,1,2,3,9,1,3,2,2,2,2,2,1,1,4,1,1,1,3,2,3,1,3.0,1,4,69
1,4,2,2,0,1,1,0,1,30,4,1,2,2,1,3,3,2,2,2,2,2,1,1,4,1,3,1,2,2,4,1,44.5,1,4,56
1,10,2,2,0,1,1,0,1,30,4,1,2,2,1,3,3,2,2,2,2,2,1,1,4,1,3,1,2,2,4,1,135.5,1,4,56
1,4,4,2,0,1,1,0,1,10,4,1,2,1,1,3,6,2,2,2,2,2,1,-1,4,1,4,2,1,2,4,1,20.0,1,5,42
10,2,4,2,0,1,1,0,1,10,4,1,2,3,1,3,6,2,2,2,2,2,1,3,4,1,2,2,1,2,4,1,28.0,1,5,42
1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,1,4,1,2,-2,-2,-2,-2,1,28.0,1,-2,-1
1,2,1,1,0,1,1,0,1,10,3,2,2,1,1,6,3,2,2,2,2,2,1,-1,4,1,5,3,1,3,1,1,22.0,1,4,44
1,2,5,2,1,2,1,0,2,15,5,2,2,6,8,6,2,2,1,2,2,2,3,2,4,1,2,3,1,2,2,1,7.0,1,4,17
8,3,5,2,1,2,1,0,2,15,5,2,2,6,8,6,2,2,1,2,2,2,3,3,4,1,2,3,1,2,2,1,16.5,1,4,17
8,5,5,2,1,2,1,0,2,15,5,2,2,6,8,6,2,2,1,2,2,2,3,3,4,1,2,3,1,2,2,1,11.0,1,4,17
1,5,5,2,1,2,1,0,1,15,5,1,2,1,1,1,4,1,2,2,2,2,1,2,4,1,3,3,2,2,3,1,24.5,1,3,51
7,4,4,3,0,1,1,1,1,22,5,2,2,3,2,5,3,2,2,2,2,2,1,3,4,1,2,4,1,1,3,1,30.0,1,3,54
1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,1,4,1,2,-2,-2,-2,-2,1,31.0,1,-2,-1
2,1,2,2,2,1,1,0,1,1,4,2,2,2,2,6,5,2,2,2,2,2,1,1,4,1,1,3,3,3,3,1,15.0,1,3,30
1,2,2,2,2,1,1,0,1,1,4,2,2,2,2,6,5,2,2,2,2,2,1,1,4,1,1,3,3,3,3,1,16.0,1,3,30
