DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbComp,Internet,NbSmartPhone,HouseType,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,TripPurpose,TypeCommune,frequency,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,age,Weight
2,4,85,23,10,12.4,3.17,32,2,0,1,0,2,1,2,1,1,4,1,1983,2,2,3,3,7,2,2,1,2,2,2,0.0,1,7,1,2,4,1,1,4,1,30.0,1,52,3,255,27,0.000378621
11,2,82,33,5,3.0,0.45,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,3.0,3,7,1,1,-1,-1,-1,2,1,4.5,0,44,-1,20,-1,0.000367986
1,3,107,21,31,24.0,2.36,23,2,0,1,0,1,1,0,1,29,2,2,1947,2,2,2,4,3,2,2,2,2,2,1,24.0,1,7,1,1,3,2,2,1,1,25.0,1,55,-1,30,63,0.000367986
1,5,190,116,18,10.8,1.16,14,3,0,2,0,1,1,0,1,22,4,1,1953,2,3,1,6,3,2,2,2,2,2,1,10.8,1,7,1,2,2,1,2,3,1,12.5,1,56,-1,20,57,0.000409116
1,4,116,38,29,9.6,1.89,20,3,0,2,0,1,1,0,1,22,4,2,1952,2,3,4,6,3,2,2,2,2,2,2,9.6,1,7,1,2,1,2,2,3,1,19.0,1,49,-1,30,58,0.000367986
4,1,20,1,5,3.0,1.14,9,1,0,1,0,1,1,0,1,38,4,1,1930,1,1,9,3,4,1,2,2,2,2,1,2.2,3,7,1,1,-1,-1,-1,1,1,13.0,1,14,4,10,80,0.000202325
4,4,116,26,34,24.8,4.87,33,2,0,1,0,1,1,0,1,25,5,2,1946,2,2,9,2,4,1,2,2,2,2,1,12.4,3,7,1,2,3,2,2,3,1,45.0,1,56,5,30,64,9.82e-05
4,1,35,15,4,4.8,0.69,9,1,0,1,0,2,1,0,1,36,4,2,1942,1,1,9,8,3,2,2,2,2,2,1,4.8,3,7,1,1,1,2,2,3,1,7.0,1,16,4,15,68,0.000288998
11,0,11,10,0,2.2,0.13,1,1,0,1,0,2,1,0,1,36,4,2,1942,1,1,9,8,3,2,2,2,2,2,1,2.2,3,7,1,1,1,2,2,3,1,1.0,1,1,4,7,68,0.000288998
1,3,92,35,8,11.0,2.71,27,2,0,1,0,2,1,1,1,29,2,1,1951,2,2,1,6,3,2,2,2,2,2,1,11.0,1,7,1,2,4,-1,-1,4,1,27.0,1,49,4,60,59,0.000409116
1,5,124,36,24,11.0,2.44,22,2,0,2,0,4,1,3,2,2,6,1,1980,2,2,1,2,8,2,2,1,2,2,1,0.0,1,7,1,2,3,3,1,3,1,26.0,1,64,1,24,30,0.000378621
4,4,123,21,59,9.4,2.03,19,3,1,2,0,2,1,1,2,2,5,2,1977,2,3,2,4,6,2,2,2,2,2,1,9.4,3,7,1,1,3,2,1,2,1,22.0,1,43,5,20,33,0.000232084
4,2,80,26,3,4.8,1.13,12,3,1,2,0,2,1,1,2,2,5,2,1977,2,3,2,4,6,2,2,2,2,2,1,4.8,3,7,1,2,3,2,1,2,1,11.0,1,51,5,20,33,0.000232084
11,6,147,42,35,22.0,2.04,28,2,3,2,-1,2,1,0,1,15,4,2,1971,2,3,2,6,3,2,2,2,2,2,1,22.0,3,7,1,2,4,1,1,4,1,20.0,1,70,4,30,39,0.00087004
4,2,117,62,25,8.6,1.46,20,2,3,2,-1,2,1,0,1,15,4,2,1971,2,3,2,6,3,2,2,2,2,2,1,8.6,3,7,1,3,4,1,1,4,1,15.0,1,30,4,23,39,0.00087004
1,3,266,67,95,37.2,5.34,51,2,3,2,0,2,1,0,1,41,4,1,1968,2,3,1,8,3,2,2,2,2,2,1,37.2,1,7,1,3,4,2,2,3,1,55.0,1,104,3,-1,42,0.000409116
7,5,250,18,137,11.0,5.16,40,2,3,2,0,2,1,0,1,41,4,1,1968,2,3,1,8,3,2,2,2,2,2,1,11.0,3,7,1,2,4,2,2,3,1,49.5,1,95,3,20,42,0.000409116
1,1,33,14,5,3.0,0.68,9,3,0,2,0,2,1,0,2,25,3,1,1960,2,3,1,6,3,2,2,2,2,2,-1,3.0,1,7,1,1,4,2,2,2,1,7.0,1,14,4,15,50,0.000409116
3,2,88,16,9,26.0,5.02,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,26.0,1,7,1,2,-2,-2,-2,-2,1,54.0,0,63,-2,109,-1,0.000409116
